Statistical profiling result from conConsoleLog.log, (8067 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&)
      1    0.0%    0.0%  std::basic_ios<char, std::char_traits<char> >::_M_cache_locale(std::locale const&)
      1    0.0%    0.0%  sigemptyset
      1    0.0%    0.0%  sigaddset
      1    0.0%    0.0%  shutdown
      1    0.0%    0.0%  operator new[](unsigned long)
      1    0.0%    0.0%  operator delete[](void*)
      1    0.0%    0.0%  bool std::has_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)
      1    0.0%    0.0%  accept4
      1    0.0%    0.0%  __vsnprintf
      1    0.0%    0.0%  __dynamic_cast
      1    0.0%    0.0%  _IO_file_xsputn
      1    0.0%    0.0%  _IO_file_write
      1    0.0%    0.0%  _IO_do_write

 [Summary]:
   ticks  total  nonlib   name
    678    8.4%   33.0%  JavaScript
   1360   16.9%   66.3%  C++
    357    4.4%   17.4%  GC
   6015   74.6%          Shared libraries
     14    0.2%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    390   56.0%    4.8%  __pthread_cond_signal
    144   20.7%    1.8%  __write
     52    7.5%    0.6%  __GI___pthread_mutex_unlock
     25    3.6%    0.3%  __libc_malloc
     11    1.6%    0.1%  __GI___pthread_mutex_lock
      6    0.9%    0.1%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      6    0.9%    0.1%  __lll_lock_wait
      6    0.9%    0.1%  _IO_fwrite
      5    0.7%    0.1%  __mprotect
      5    0.7%    0.1%  __libc_free
      4    0.6%    0.0%  operator new(unsigned long)
      3    0.4%    0.0%  operator delete(void*)
      3    0.4%    0.0%  __madvise
      2    0.3%    0.0%  syscall
      2    0.3%    0.0%  std::locale::~locale()
      2    0.3%    0.0%  std::locale::locale()
      2    0.3%    0.0%  std::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::_M_sync(char*, unsigned long, unsigned long)
      2    0.3%    0.0%  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::string const&)
      2    0.3%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      2    0.3%    0.0%  fmod
      2    0.3%    0.0%  __cxxabiv1::__vmi_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const
      2    0.3%    0.0%  __GI___pthread_once
      1    0.1%    0.0%  std::string::swap(std::string&)
      1    0.1%    0.0%  std::string::_Rep::_S_create(unsigned long, unsigned long, std::allocator<char> const&)
      1    0.1%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      1    0.1%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)
      1    0.1%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > const& std::use_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)
      1    0.1%    0.0%  std::locale::operator=(std::locale const&)
      1    0.1%    0.0%  std::locale::id::_M_id() const
      1    0.1%    0.0%  std::ios_base::~ios_base()
      1    0.1%    0.0%  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&)
      1    0.1%    0.0%  std::basic_ios<char, std::char_traits<char> >::_M_cache_locale(std::locale const&)
      1    0.1%    0.0%  operator new[](unsigned long)
