Statistical profiling result from sinConsoleLog.log, (5004 ticks, 10 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   ticks    cpp   total   name
    191   43.0%    3.8%  __pthread_cond_signal
    157   35.4%    3.1%  __write
     24    5.4%    0.5%  __GI___pthread_mutex_unlock
     14    3.2%    0.3%  __libc_malloc
      6    1.4%    0.1%  __mprotect
      4    0.9%    0.1%  __madvise
      4    0.9%    0.1%  _IO_fwrite
      3    0.7%    0.1%  operator new(unsigned long)
      3    0.7%    0.1%  __dynamic_cast
      3    0.7%    0.1%  __GI___pthread_mutex_lock
      3    0.7%    0.1%  _IO_file_xsputn
      2    0.5%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      2    0.5%    0.0%  std::locale::locale()
      2    0.5%    0.0%  std::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::underflow()
      2    0.5%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      2    0.5%    0.0%  std::basic_istream<char, std::char_traits<char> >& std::getline<char, std::char_traits<char>, std::allocator<char> >(std::basic_istream<char, std::char_traits<char> >&, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char)
      2    0.5%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      2    0.5%    0.0%  posix_memalign
      2    0.5%    0.0%  operator new[](unsigned long)
      2    0.5%    0.0%  brk
      2    0.5%    0.0%  __cxxabiv1::__vmi_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const
      1    0.2%    0.0%  std::string::find(char const*, unsigned long, unsigned long) const
      1    0.2%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)
      1    0.2%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.2%    0.0%  std::locale::operator=(std::locale const&)
      1    0.2%    0.0%  std::locale::id::_M_id() const
      1    0.2%    0.0%  std::istream::sentry::sentry(std::istream&, bool)
      1    0.2%    0.0%  std::ios_base::_M_dispose_callbacks()
      1    0.2%    0.0%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
      1    0.2%    0.0%  __vsnprintf
      1    0.2%    0.0%  __lll_lock_wait
      1    0.2%    0.0%  __libc_write
      1    0.2%    0.0%  __libc_free

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   3783   75.6%  /usr/bin/node
   2037   53.8%    /usr/bin/node
    174    8.5%      LazyCompile: ~wrapSafe internal/modules/cjs/loader.js:986:18
    174  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:1039:37
    174  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:1094:37
    174  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:938:33
    164    8.1%      LazyCompile: ~readFileAfterOpen fs.js:278:27
    161    7.9%      LazyCompile: ~close internal/fs/read_file_context.js:116:8
    161  100.0%        LazyCompile: ~readFileAfterRead internal/fs/read_file_context.js:28:27
